title,author,text,language
"The Code","User","Lines of logic stack like verses,
functions call to one another.
In the silence of late night,
the cursor blinks—patient, waiting.
I speak to machines in their language,
and sometimes, they speak back.","en"
"Bahor Keldi","User","Bahor keldi, gul ochildi,
Bulbul sayrar bog'larda.
Yurak to'la umid bilan,
Yangi kunlar kutmoqdа.
Quyosh nurli, osmon ochiq,
Hayot yangidan boshlanar.","uz"
"Samarqand","User","Registon maydonida turib,
Ko'k gumbazlarga qarayman.
Ajdodlar izidan yurib,
Tarixni his etaman.
Sharq durdonasi, azaliy shahar,
Qalbimda yashaysan abadiy.","uz"
"Onam","User","Onam, sizni sog'indim,
Mehribonligingizni.
Qo'llaringiz iliq edi,
Ovozingiz shirindir.
Dunyoda eng aziz inson,
Siz menga yor bo'ldingiz.","uz"
"Gecenin Sessizliği","User","Gece çöker şehre yavaş yavaş,
Sokak lambaları titrer usulca.
Yıldızlar fısıldar birbirine,
Ay ışığı dans eder su üstünde.
Ben burada, düşünceler içinde,
Zamanın akışını izliyorum.","tr"
"Morning Coffee","User","Steam rises from the cup,
a small prayer to the day ahead.
The first sip—bitter, warm—
awakens something dormant,
a readiness to face whatever comes.","en"
"Istanbul Memories","User","Between two continents,
the ferries carry dreams across the Bosphorus.
Seagulls cry overhead,
echoing the calls of simit sellers.
In this city of layers,
every stone tells a story.","en"
"Sonbahar","User","Yapraklar dans eder rüzgarla,
altın, kırmızı, kahverengi.
Yaz artık bir hatıra,
kış ise kapıda bekliyor.
Bu arada, sonbahar,
geçişin güzelliğini kutluyor.","tr"
"月下独酌","User","举杯邀明月，
对影成三人。
月既不解饮，
影徒随我身。
暂伴月将影，
行乐须及春。","zh"
"山中问答","User","问余何意栖碧山，
笑而不答心自闲。
桃花流水窅然去，
别有天地非人间。","zh"
"静夜思","User","窗前明月光，
疑是地上霜。
举头望明月，
低头思故乡。","zh"
"القمر والبحر","User","القمر ينظر إلى البحر،
والأمواج ترقص في الليل.
النجوم تغني للصمت،
والقلب يحلم بالرحيل.
في هذا الكون الواسع،
نحن مجرد قطرة في سيل.","ar"
"الصباح","User","يطلع الفجر بهدوء،
يرسم الضوء على الجدران.
الطيور تغرد فرحة،
والأمل يملأ المكان.
يوم جديد يبدأ الآن،
فلنشكر الرحمن.","ar"
"الحنين","User","أحن إلى أرض الأجداد،
إلى رائحة الياسمين.
إلى شوارع الطفولة،
وضحكات الأحبة الغائبين.
الذكريات جمر في القلب،
لا تنطفئ مع السنين.","ar"
"বর্ষা","User","আকাশ ভেঙে নামে জল,
ঝরে পড়ে ঝমঝম।
মেঘ গর্জে বিদ্যুৎ চমকায়,
প্রকৃতি নাচে রিমঝিম।
কদম ফুলে সুবাস ছড়ায়,
মন হয় আনমনা।","bn"
"শরৎ","User","কাশফুলে ভরে গেছে মাঠ,
সাদা মেঘ ভেসে যায়।
শিউলি ফুলের গন্ধে মাতাল,
মন আমার উড়ে যায়।
দুর্গা আসছে ঘরে,
আনন্দ বাজে হৃদয়ে।","bn"
"माँ","User","माँ की गोद में बैठकर,
दुनिया सुंदर लगती है।
उसकी आँखों में प्यार,
हर चिंता दूर करती है।
माँ तू है मेरी जन्नत,
तेरे बिना कुछ न लगे।","hi"
"बारिश","User","बारिश की बूँदें गिरतीं,
धरती पर नाचती हैं।
पत्ते हरे हो जाते,
फूल खिलखिलाते हैं।
मिट्टी की सोंधी खुशबू,
दिल को भा जाती है।","hi"
"दिल्ली की शाम","User","लाल किले की दीवारों पर,
सूरज ढलता है।
पुरानी दिल्ली की गलियों में,
इतिहास बोलता है।
चाय की दुकानों पर बैठकर,
वक्त गुज़र जाता है।","hi"
"봄날","User","벚꽃이 흩날리는 봄날,
바람에 꽃잎이 춤을 춘다.
거리에 향기가 가득 차고,
마음도 덩달아 설렌다.
새로운 시작의 계절,
희망이 피어오른다.","ko"
"서울의 밤","User","한강 위로 빛이 반짝이고,
도시는 잠들지 않는다.
네온 불빛 아래 사람들,
각자의 꿈을 안고 걷는다.
이 밤이 지나면 또 아침,
내일을 향해 달린다.","ko"
"그리움","User","멀리 떠난 사람을 생각하며,
창밖의 달을 바라본다.
같은 하늘 아래 있어도,
마음은 닿지 않는다.
보고 싶은 마음을 담아,
별에게 소원을 빈다.","ko"